Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,100.736137,105.468452,100.516251,105.162521,90.475502,6619820
2020-04-03,104.130020,105.229446,100.305923,101.663483,87.465141,4747585
2020-04-06,105.497131,110.544930,105.286804,109.770554,94.439980,7357773
2020-04-07,113.575523,114.311661,109.818359,109.885277,94.538673,5852684
2020-04-08,111.195030,114.684509,110.009560,114.043976,98.116570,5395896
2020-04-09,115.181641,117.514343,114.885277,116.156792,99.934296,5832705
2020-04-13,116.281075,116.443596,112.848946,115.822182,99.646431,5355206
2020-04-14,118.030594,119.674950,117.227531,118.460800,101.916534,5322780
2020-04-15,113.881454,114.904396,111.625237,113.470360,97.623062,5896616
2020-04-16,113.776291,114.483749,109.388145,110.640533,95.188446,6754650
2020-04-17,114.053535,115.095604,112.734222,114.837479,98.799248,5194436
2020-04-20,113.910133,117.456978,112.944550,115.114723,99.037781,8558058
2020-04-21,108.986618,111.998085,107.131927,111.625237,96.035629,15009054
2020-04-22,114.598473,115.038239,112.380501,114.063095,98.133018,7412479
2020-04-23,114.311661,117.619499,113.881454,116.013382,99.810921,7198154
2020-04-24,117.026772,119.502869,115.449333,119.235184,102.582771,5215251
2020-04-27,120.038239,121.405357,119.952202,120.382408,103.569778,5150295
2020-04-28,122.399620,122.562141,119.866158,120.717018,103.857658,4997893
2020-04-29,123.212234,123.623329,121.921608,123.030594,105.848114,5499450
2020-04-30,120.956024,121.673042,119.713196,120.038239,103.273682,6941047
2020-05-01,117.772469,118.040154,116.051628,116.510513,100.238617,5152073
2020-05-04,115.506691,116.606117,114.139580,116.328873,100.082359,4202723
2020-05-05,117.963669,118.852776,117.084129,117.189293,100.822617,4078772
2020-05-06,117.820267,118.594643,117.026772,117.753349,101.307892,4042372
2020-05-07,117.571701,117.839386,115.535370,115.898659,101.049484,4615580
2020-05-08,117.275337,117.810707,115.736137,117.581261,102.516502,5232615
2020-05-11,116.453156,118.021034,115.363289,117.198853,102.183098,3697924
2020-05-12,117.600380,118.852776,114.971321,114.971321,100.240959,5004587
2020-05-13,114.674950,114.713196,109.799232,110.640533,96.465034,6153409
2020-05-14,109.531548,111.940727,106.892921,111.806885,97.481956,5501332
2020-05-15,110.831741,112.227531,110.181641,111.835564,97.506973,5006470
2020-05-18,114.608032,116.978966,114.483749,116.214149,101.324554,4399162
2020-05-19,115.860420,116.797325,114.856598,115.000000,100.265961,3390191
2020-05-20,115.611855,117.084129,115.296364,116.042068,101.174530,4017372
2020-05-21,115.669212,116.367111,113.738052,113.881454,99.290733,4184941
2020-05-22,114.120461,114.216064,112.418739,113.183556,98.682243,4373117
2020-05-26,115.965584,117.227531,115.688339,116.405357,101.491264,5720888
2020-05-27,118.489487,120.296364,118.040154,120.019119,104.642021,5990965
2020-05-28,121.290634,121.386230,118.757172,119.053535,103.800148,4095404
2020-05-29,118.231361,119.627151,116.864243,119.407265,104.108566,8294675
2020-06-01,119.158699,120.219887,118.575523,119.397705,104.100227,3003798
2020-06-02,120.143402,120.458893,119.177818,120.458893,105.025459,3115093
2020-06-03,121.558319,123.900574,121.414917,123.374763,107.567749,4097914
2020-06-04,122.160614,123.279160,121.434036,123.221794,107.434364,4042581
2020-06-05,128.001907,128.326965,125.956024,126.252388,110.076675,6163764
2020-06-08,126.453156,129.904404,126.453156,129.780121,113.152412,5617543
2020-06-09,127.648186,127.724663,125.258125,126.070747,109.918304,5641706
2020-06-10,126.338432,126.414917,124.091782,124.158699,108.251236,4952601
2020-06-11,120.487572,120.554497,112.657745,112.820267,98.365494,12304726
2020-06-12,115.917786,117.705544,114.034416,116.548759,101.616295,6506434
2020-06-15,113.948372,116.988525,113.087952,116.300194,101.399582,5385959
2020-06-16,119.502869,121.892921,117.743790,119.646271,104.316956,5864608
2020-06-17,120.296364,120.697899,117.973228,118.690247,103.483406,3302013
2020-06-18,117.590820,118.929253,116.950287,118.699806,103.491745,2997208
2020-06-19,120.621414,121.242828,116.873802,117.084129,102.083069,8471554
2020-06-22,116.749519,117.112808,115.229446,115.745697,100.916122,4993081
2020-06-23,116.644356,117.495216,113.986618,114.158699,99.532463,6937700
2020-06-24,113.116638,113.116638,110.783936,111.300194,97.040192,7061546
2020-06-25,111.625237,113.967499,110.994263,113.795410,99.215706,6412608
2020-06-26,113.059273,113.757172,111.147224,112.036331,97.682007,11244605
2020-06-29,112.791588,114.512428,112.208412,114.483749,99.815857,4350837
2020-06-30,113.948372,115.869980,113.766731,115.458893,100.666069,4099797
2020-07-01,114.980881,115.898659,113.164436,113.326958,98.807289,4869967
2020-07-02,114.426384,116.080307,114.015297,114.435944,99.774170,3919362
2020-07-06,115.917786,116.491394,114.206497,114.904396,100.182617,4231488
2020-07-07,113.766731,114.254303,112.170174,112.409180,98.007095,4474893
2020-07-08,112.868073,113.422562,111.357552,112.533463,98.115456,5431669
2020-07-09,112.810707,112.810707,110.133842,110.621414,96.448380,4982098
2020-07-10,110.420647,113.355644,110.219887,113.145317,98.648918,4482842
2020-07-13,114.512428,115.669212,113.441681,113.957932,99.357407,4864632
2020-07-14,113.403442,115.573616,112.734222,115.296364,100.524361,4742982
2020-07-15,117.017204,118.508606,116.778206,117.590820,102.524841,4679176
2020-07-16,117.284897,119.005737,116.787766,118.556404,103.366722,4530121
2020-07-17,118.919693,120.105164,117.782028,119.608032,104.283600,4167892
2020-07-20,120.525810,121.481834,119.636711,120.812622,105.333870,10384374
2020-07-21,125.391968,126.357552,120.267685,120.516251,105.075447,16063004
2020-07-22,120.363289,123.776291,120.267685,123.011475,107.250992,8572388
2020-07-23,123.422562,123.680687,121.558319,121.730400,106.134056,4414225
2020-07-24,120.917786,122.036331,119.980881,120.258125,104.850418,3693531
2020-07-27,119.369026,120.764816,119.225624,120.659653,105.200485,3905136
2020-07-28,120.286804,120.783936,118.690247,118.996178,103.750145,4370397
2020-07-29,119.082214,120.449333,118.613770,119.808792,104.458649,2963109
2020-07-30,118.269600,118.451241,116.290634,117.495216,102.441483,4171553
2020-07-31,117.313576,117.581261,115.764816,117.533463,102.474846,5519847
2020-08-03,118.068832,118.938812,116.778206,118.843208,103.616783,3688301
2020-08-04,118.374763,120.325050,118.374763,120.305923,104.892090,3625541
2020-08-05,121.156792,121.175911,119.130020,119.933075,104.566994,3786102
2020-08-06,119.502869,120.707458,119.502869,120.573616,105.125473,3574287
2020-08-07,118.068832,119.569794,117.791588,119.464630,105.522369,3818946
2020-08-10,119.904396,121.644356,119.674950,121.520073,107.337929,4150842
2020-08-11,123.097511,124.732315,121.042068,121.175911,107.033936,5231255
2020-08-12,121.998085,122.170174,120.344170,121.128105,106.991714,3692066
2020-08-13,120.420647,120.831741,119.282982,119.531548,105.581482,3317180
2020-08-14,118.738052,120.038239,118.460800,119.760994,105.784149,3099716
2020-08-17,119.741875,120.066925,118.938812,118.967499,105.083260,3514665
2020-08-18,119.502869,119.980881,118.776291,119.426384,105.488579,3014990
2020-08-19,119.340347,119.980881,118.068832,118.393883,104.576584,3916119
2020-08-20,117.782028,118.585083,117.409180,117.734222,103.993919,2679015
2020-08-21,117.600380,118.049713,116.931168,117.743790,104.002365,3540815
2020-08-24,118.346077,120.516251,117.934990,120.152962,106.130371,4258057
2020-08-25,120.458893,121.242828,119.015297,119.158699,105.252144,3114674
2020-08-26,119.455070,119.617592,118.499046,118.709366,104.855247,3544162
2020-08-27,119.120461,119.598473,118.527725,119.168259,105.260582,3580144
2020-08-28,119.464630,119.789673,118.757172,119.569794,105.615257,3242182
2020-08-31,119.741875,119.741875,117.619499,117.887192,104.129036,5049983
2020-09-01,117.447418,118.499046,116.778206,117.973228,104.205017,3300444
2020-09-02,118.279160,123.040154,118.145317,122.543022,108.241493,6895650
2020-09-03,122.552582,124.235184,118.212234,118.977058,105.091698,5979773
2020-09-04,118.881454,119.837479,115.908218,116.921608,103.276123,6295037
2020-09-08,116.787766,117.466537,115.401527,115.879539,102.355682,5449974
2020-09-09,116.759079,118.260040,115.956024,116.883362,103.242355,3944152
2020-09-10,117.141495,118.145317,114.952202,115.258125,101.806793,4161406
2020-09-11,116.051628,117.304016,115.420647,116.118546,102.566803,3711313
2020-09-14,116.978966,117.954109,116.405357,116.720840,103.098785,3809009
2020-09-15,117.418739,117.973228,116.864243,117.055450,103.394363,3049299
2020-09-16,117.313576,120.286804,117.313576,118.757172,104.897491,3962666
2020-09-17,117.227531,120.028679,116.606117,119.426384,105.488579,3317180
2020-09-18,118.795410,119.426384,117.256210,117.361374,103.664566,5639614
2020-09-21,115.181641,115.391968,113.365204,114.961761,101.545021,5555724
2020-09-22,115.038239,116.108986,114.273422,115.210327,101.764565,3093859
2020-09-23,115.487572,116.242828,113.221794,113.604210,100.345901,4120612
2020-09-24,112.906311,114.263863,111.357552,112.896751,99.721001,3709325
2020-09-25,112.428299,114.158699,111.797325,113.718925,100.447235,3089570
2020-09-28,115.267685,116.950287,115.114723,116.376671,102.794807,3670623
2020-09-29,116.070747,116.816444,114.923515,115.621414,102.127686,2203504
2020-09-30,116.042068,117.504784,115.487572,116.319313,102.744133,3411111
2020-10-01,116.978966,117.877632,115.066925,115.764816,102.254341,3359438
2020-10-02,113.804970,116.395790,113.594643,115.267685,101.815239,3059759
2020-10-05,116.481834,117.351814,115.726578,116.644356,103.031242,3190823
2020-10-06,117.189293,119.340347,116.242828,116.606117,102.997467,4050426
2020-10-07,117.275337,118.919693,116.940727,118.613770,104.770805,2944908
2020-10-08,125.105164,129.541107,124.063095,125.707458,111.036621,26452189
2020-10-09,126.195030,126.195030,121.988525,122.170174,107.912170,8737970
2020-10-12,122.437859,122.609940,120.879539,121.615677,107.422379,4848315
2020-10-13,121.003822,121.558319,118.986618,119.598473,105.640594,5654781
2020-10-14,119.627151,121.357552,119.627151,120.401527,106.349937,3899593
2020-10-15,118.623329,119.713196,118.403442,119.397705,105.463242,3541024
2020-10-16,119.665390,120.869980,119.177818,120.391968,106.341492,4927078
2020-10-19,121.223709,121.749519,119.579353,120.000000,105.995255,7822720
2020-10-20,114.531548,114.866158,111.701721,112.208412,99.113007,22490151
